<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 20241009 to 20241012</B><hr><pre>Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Vy Velocity, km/s
 6 Vz Velocity, km/s
 7 Proton Density, n/cc
 8 Proton Temperature, K
 9 AE-index, nT
10 AL-index, nT
11 AU-index, nT
12 SYM/H, nT
13 Electric field, mV/m 

YYYY DOY HR MN      1       2       3       4       5       6      7        8     9    10    11    12     13 
2024 283  0 36   -0.42    3.72   -7.93  -434.4   -14.1     8.5   7.03  202331.   625  -420   205   -73   3.45
2024 283  0 37    0.61    6.62   -3.85  -434.4   -14.1     8.5   7.03  202331.   617  -392   225   -73   1.67
2024 283  0 38    2.98    8.63   -1.11  -434.4   -14.1     8.5   7.03  202331.   639  -404   235   -73   0.48
2024 283  0 39    1.06    6.76   -3.20 99999.9 99999.9 99999.9 999.99 9999999.   640  -393   247   -73 999.99
2024 283  0 40   -3.43    2.50   -7.50  -424.0   -10.9    12.0   7.23  263298.   630  -379   251   -73   3.18
2024 283  0 41   -3.12    4.26   -7.04  -424.0   -10.9    12.0   7.23  263298.   651  -396   255   -73   2.99
2024 283  0 42   -3.32    3.33   -7.43  -424.0   -10.9    12.0   7.23  263298.   562  -312   250   -72   3.15
2024 283  0 43   -3.52    3.73   -7.38  -416.7    -9.1     6.3   7.27  238754.   546  -295   251   -72   3.08
2024 283  0 44   -3.02    4.88   -7.42  -416.7    -9.1     6.3   7.27  238754.   563  -309   254   -72   3.09
2024 283  0 45   -1.76    6.15   -6.78  -419.4   -13.1     3.4   6.97  220282.   571  -322   249   -71   2.85
2024 283  0 46   -2.71    5.83   -6.75  -425.8   -22.7    -3.7   6.27  175830.   568  -331   237   -71   2.88
2024 283  0 47   -1.13    6.31   -6.44  -425.8   -22.7    -3.7   6.27  175830.   559  -333   226   -71   2.75
2024 283  0 48   -1.37    7.01   -5.77 99999.9 99999.9 99999.9 999.99 9999999.   561  -337   224   -72 999.99
2024 283  0 49   -1.86    6.92   -5.88  -427.6   -31.8    -7.9   7.01  200585.   564  -331   233   -71   2.52
2024 283  0 50   -2.32    6.71   -5.84  -427.6   -31.8    -7.9   7.01  200585.   555  -317   238   -71   2.50
2024 283  0 51   -1.89    7.00   -5.82  -431.0   -29.5   -11.4   7.22  200363.   568  -330   238   -71   2.52
2024 283  0 52   -1.53    7.31   -5.54  -431.9   -28.9   -12.3   7.27  200307.   567  -332   235   -71   2.40
2024 283  0 53   -1.24    7.47   -5.32  -426.0   -29.5   -13.0   7.60  204506.   566  -334   232   -71   2.27
2024 283  0 54   -1.19    7.61   -5.15  -426.0   -29.5   -13.0   7.60  204506.   587  -361   226   -71   2.20
2024 283  0 55   -1.06    7.89   -4.71  -427.9   -29.4   -17.5   7.33  201082.   555  -340   215   -71   2.02
2024 283  0 56   -1.34    8.01   -4.32  -428.4   -29.4   -18.6   7.26  200237.   582  -374   208   -71   1.86
2024 283  0 57   -0.91    7.99   -4.59  -431.2   -28.0   -19.5   7.67  199960.   551  -343   208   -71   1.99
2024 283  0 58   -1.23    8.04   -4.17  -431.4   -27.8   -20.0   7.61  197220.   554  -347   207   -71   1.80
2024 283  0 59   -1.09    8.02   -4.33  -432.3   -26.9   -22.3   7.33  184814.   583  -376   207   -71   1.88
2024 283  1  0   -1.58    7.59   -5.05  -432.3   -26.9   -22.3   7.33  184814.   545  -349   196   -71   2.19
2024 283  1  1   -1.47    7.47   -5.23  -428.8   -29.7   -16.3   6.97  184948.   567  -376   191   -71   2.25
2024 283  1  2   -1.41    7.42   -4.88  -428.8   -29.7   -16.3   6.97  184948.   573  -392   181   -71   2.10
2024 283  1  3    0.71    8.13   -2.25  -436.5   -61.4   -32.3   8.07  235724.   585  -386   199   -71   0.99
2024 283  1  4    0.95    7.98   -0.76  -436.3   -60.4   -31.6   8.03  234692.   586  -378   208   -71   0.34
2024 283  1  5    1.31    7.90   -0.57  -431.4   -48.7   -21.5   7.54  222467.   594  -374   220   -71   0.25
2024 283  1  6    1.09    7.87   -0.75  -430.1   -53.9   -24.1   7.95  228649.   598  -371   227   -71   0.33
2024 283  1  7    1.58    7.27   -0.18  -435.7   -40.1   -26.1   7.20  207167.   611  -381   230   -71   0.08
2024 283  1  8    2.10    7.49    0.30  -435.8   -40.0   -26.3   7.17  206834.   660  -440   220   -71  -0.13
2024 283  1  9    0.35    5.88   -2.26 99999.9 99999.9 99999.9 999.99 9999999.   691  -479   212   -71 999.99
2024 283  1 10   -0.15    2.08   -3.60 99999.9 99999.9 99999.9 999.99 9999999.   750  -525   225   -72 999.99
2024 283  1 11   -2.32    0.60   -5.44 99999.9 99999.9 99999.9 999.99 9999999.   743  -525   218   -72 999.99
2024 283  1 12    0.74    2.28   -0.83 99999.9 99999.9 99999.9 999.99 9999999.   719  -501   218   -73 999.99
2024 283  1 13    3.64    5.54    2.98  -455.4   -22.2   -46.2   7.92  201632.   675  -476   199   -72  -1.37
2024 283  1 14    3.91    6.19    1.04  -455.4   -22.3   -46.2   7.92  201612.   614  -421   193   -72  -0.48
2024 283  1 15    3.96    5.54    2.63  -460.2   -35.0   -49.1   8.03  198782.   566  -389   177   -72  -1.22
2024 283  1 16    4.17    5.37    1.76  -461.2   -31.7   -48.7   8.11  200548.   540  -373   167   -72  -0.82
2024 283  1 17    3.90    4.86    3.27  -465.6   -22.0   -52.5   8.13  190882.   513  -350   163   -72  -1.53
2024 283  1 18    3.76    4.51    3.88  -462.4   -17.2   -61.3   7.78  196449.   489  -334   155   -72  -1.81
2024 283  1 19    3.24    4.45    3.59  -460.7   -23.0   -49.4   7.93  178649.   454  -310   144   -72  -1.67
2024 283  1 20    3.14    5.57    3.09  -454.6   -23.4   -51.0   8.14  222916.   425  -285   140   -72  -1.42
2024 283  1 21    3.27    3.77    3.75  -457.0   -25.4   -49.9   7.90  210301.   413  -267   146   -73  -1.73
2024 283  1 22    2.63    3.79    4.03  -463.6   -29.6   -51.4   8.51  224530.   415  -268   147   -73  -1.88
2024 283  1 23    2.21    2.79    5.49  -463.6   -29.6   -51.4   8.51  224604.   486  -335   151   -73  -2.57
2024 283  1 24    0.98    3.42    1.22 99999.9 99999.9 99999.9 999.99 9999999.   573  -417   156   -73 999.99
2024 283  1 25    0.30    1.09    6.08 99999.9 99999.9 99999.9 999.99 9999999.   642  -469   173   -73 999.99
2024 283  1 26    0.76    1.45    6.17 99999.9 99999.9 99999.9 999.99 9999999.   623  -461   162   -73 999.99
2024 283  1 27    1.63    3.51    5.05  -444.8    -1.2   -56.0   8.70  236253.   579  -426   153   -73  -2.26
2024 283  1 28    2.02    4.69    4.46  -444.8    -1.2   -56.0   8.70  236253.   538  -387   151   -73  -2.00
2024 283  1 29    1.95    4.41    4.91 99999.9 99999.9 99999.9 999.99 9999999.   542  -394   148   -72 999.99
2024 283  1 30    2.19    4.65    4.61 99999.9 99999.9 99999.9 999.99 9999999.   585  -440   145   -72 999.99
2024 283  1 31    2.25    5.75    2.87  -446.3   -20.9   -50.3   8.10  222838.   584  -438   146   -72  -1.29
2024 283  1 32    2.59    5.62    3.65  -450.5   -21.3   -52.8   8.05  217450.   523  -378   145   -72  -1.66
2024 283  1 33    2.91    6.23    1.95  -452.8   -21.3   -54.4   7.99  213327.   468  -325   143   -72  -0.89
2024 283  1 34    3.28    5.55    2.82  -456.4   -32.6   -52.7   7.72  207972.   454  -312   142   -71  -1.30
2024 283  1 35    3.01    6.01    1.91  -455.9   -31.7   -52.6   7.74  210435.   427  -287   140   -71  -0.88
2024 283  1 36    3.17    5.59    2.57  -454.8   -29.7   -52.3   7.80  216061.   409  -272   137   -71  -1.18
2024 283  1 37    2.56    5.47    3.53  -453.5   -21.4   -59.2   7.61  207036.   402  -269   133   -71  -1.62
2024 283  1 38    2.54    5.50    3.76  -453.2   -19.4   -60.8   7.57  204928.   386  -253   133   -71  -1.72
2024 283  1 39    2.53    5.48    3.62  -449.9   -19.4   -59.7   7.86  211055.   387  -250   137   -71  -1.64
2024 283  1 40    2.66    5.10    3.78  -449.7   -19.4   -59.6   7.88  211458.   400  -260   140   -72  -1.72
2024 283  1 41    1.40    2.28    3.73  -449.7   -19.4   -59.6   7.88  211458.   403  -262   141   -72  -1.69
2024 283  1 42    0.27    0.88    3.88 99999.9 99999.9 99999.9 999.99 9999999.   390  -252   138   -73 999.99
2024 283  1 43    3.07    5.25    3.86  -451.5   -19.3   -65.8   7.94  236026.   370  -238   132   -73  -1.76
2024 283  1 44    3.33    5.19    3.45  -451.9   -19.9   -65.5   7.93  234293.   348  -219   129   -74  -1.58
2024 283  1 45    3.67    5.83    2.55  -456.1   -27.2   -62.3   7.83  213969.   328  -204   124   -74  -1.18
2024 283  1 46    2.29    5.95    2.99  -454.5   -25.5   -58.5   7.69  207314.   302  -183   119   -74  -1.37
2024 283  1 47    1.91    6.15    2.85  -452.9   -23.7   -54.6   7.54  200515.   276  -163   113   -73  -1.30
2024 283  1 48    2.03    5.87    3.33  -452.9   -23.7   -54.6   7.54  200515.   275  -162   113   -73  -1.52
2024 283  1 49    2.49    6.09    2.73  -448.7   -21.7   -50.5   8.49  250214.   274  -162   112   -73  -1.23
2024 283  1 50    2.79    6.30    1.46  -448.7   -21.7   -50.5   8.49  250214.   276  -166   110   -73  -0.66
2024 283  1 51    2.72    6.43    0.56  -448.7   -21.7   -50.5   8.49  250214.   280  -178   102   -72  -0.25
2024 283  1 52    3.10    6.11    0.23 99999.9 99999.9 99999.9 999.99 9999999.   291  -195    96   -71 999.99
2024 283  1 53    3.58    5.09    0.92 99999.9 99999.9 99999.9 999.99 9999999.   301  -205    96   -71 999.99
2024 283  1 54    2.65    1.57    3.60  -460.5     0.7   -60.3   7.82  223353.   310  -212    98   -71  -1.67
2024 283  1 55    2.55    1.16    4.32  -460.5     0.7   -60.3   7.82  223353.   309  -211    98   -71  -2.01
2024 283  1 56    2.76    1.55    5.00  -460.5     0.7   -60.3   7.82  223353.   302  -200   102   -70  -2.32
2024 283  1 57    2.54    1.49    5.76 99999.9 99999.9 99999.9 999.99 9999999.   295  -189   106   -70 999.99
2024 283  1 58    2.75    1.84    5.83 99999.9 99999.9 99999.9 999.99 9999999.   300  -187   113   -69 999.99
2024 283  1 59    3.13    2.42    5.31  -453.8     4.6   -66.3   8.05  236706.   310  -189   121   -68  -2.44
2024 283  2  0    2.41    4.61    0.54  -450.4   -10.6   -48.4   7.90  220136.   319  -196   123   -68  -0.25
2024 283  2  1    1.76    6.37   -0.64  -448.9   -17.2   -40.6   7.84  212949.   319  -195   124   -68   0.29
2024 283  2  2    0.80    5.84   -2.53  -443.7   -21.1   -23.3   7.33  200655.   320  -193   127   -68   1.13
2024 283  2  3    0.34    5.55   -2.58  -443.7   -21.1   -23.3   7.33  200655.   310  -185   125   -67   1.15
2024 283  2  4   -0.36    5.38   -2.34 99999.9 99999.9 99999.9 999.99 9999999.   292  -169   123   -67 999.99
2024 283  2  5   -0.82    5.44   -1.40  -429.9   -24.9   -17.6   7.75  206975.   273  -151   122   -66   0.60
2024 283  2  6   -1.56    5.33   -0.96  -429.9   -24.9   -17.6   7.75  206975.   258  -135   123   -66   0.41
2024 283  2  7   -0.17    5.87   -0.35  -429.9   -24.9   -17.6   7.75  206975.   248  -128   120   -65   0.15
2024 283  2  8    0.35    5.68    0.50 99999.9 99999.9 99999.9 999.99 9999999.   239  -124   115   -65 999.99
2024 283  2  9    0.25    5.70    0.30  -434.4   -19.4   -36.3   8.06  224825.   219  -112   107   -64  -0.13
2024 283  2 10   -0.13    5.75    0.64  -434.4   -19.4   -36.3   8.06  224825.   197  -100    97   -64  -0.28
2024 283  2 11   -1.29    5.97    0.43  -434.4   -19.4   -36.3   8.06  224825.   183   -93    90   -64  -0.19
2024 283  2 12   -1.10    6.08    0.93 99999.9 99999.9 99999.9 999.99 9999999.   177   -90    87   -64 999.99
2024 283  2 13   -2.20    5.87    1.05  -423.3   -21.2   -35.2   7.37  221885.   176   -90    86   -64  -0.45
2024 283  2 14   -1.05    3.27   -1.79  -426.2   -20.5   -24.3   7.70  233616.   183   -95    88   -64   0.77
2024 283  2 15   -1.15    3.14   -2.22  -426.0   -21.5   -15.9   8.14  246059.   184   -95    89   -63   0.95
2024 283  2 16    0.34    4.87   -0.43  -431.5   -25.0   -29.2   7.63  219823.   194  -101    93   -63   0.19
2024 283  2 17    1.53    5.02    0.16  -453.7   -24.9   -40.9   7.46  209741.   196  -103    93   -63  -0.07
2024 283  2 18   -1.05    5.14   -0.93  -451.7   -32.7   -38.0   7.05  209925.   196  -104    92   -64   0.42
2024 283  2 19   -3.88    3.81   -0.86  -425.0   -16.0   -27.6   6.82  196912.   195  -101    94   -63   0.37
2024 283  2 20   -4.57    3.71   -0.84  -400.3   -18.0   -25.2   8.02  245033.   195   -96    99   -63   0.34
2024 283  2 21    0.55    4.21   -4.42  -431.8   -18.6   -14.8   7.34  228306.   198   -97   101   -62   1.91
2024 283  2 22    1.69    5.42   -3.58  -433.7   -19.4   -15.6   7.15  222333.   198   -96   102   -62   1.56
2024 283  2 23   -1.48    3.82   -4.88  -433.5   -19.1   -14.7   6.45  210176.   195   -95   100   -62   2.12
2024 283  2 24   -2.67    2.91   -5.31  -422.6    -8.8   -10.3   6.34  227266.   195   -94   101   -62   2.25
2024 283  2 25   -3.25    3.04   -5.95  -420.9     0.0    -8.9   6.36  234333.   197   -91   106   -61   2.51
2024 283  2 26   -4.97    1.90   -6.06  -425.0    -5.5     0.5   6.05  215989.   198   -89   109   -61   2.58
2024 283  2 27   -5.40    1.68   -5.61  -410.6    -1.3   -14.5   5.91  134863.   200   -87   113   -60   2.31
2024 283  2 28   -4.29    1.88   -6.51  -413.4    -7.3    -7.0   6.31  195389.   203   -89   114   -60   2.69
2024 283  2 29   -1.81    1.96   -2.96  -417.0   -14.2     2.0   6.78  266903.   208   -94   114   -60   1.23
2024 283  2 30    0.39    2.87   -2.87  -436.6   -17.7    -6.0   8.27  317828.   209   -93   116   -59   1.25
2024 283  2 31    4.58    2.71   -1.35  -436.6   -17.7    -6.0   8.27  317828.   213   -98   115   -59   0.59
2024 283  2 32    4.91    2.84   -0.57  -465.8   -23.0   -23.0   7.22  236390.   206   -91   115   -59   0.27
2024 283  2 33    4.15    3.67   -1.62  -465.9   -23.0   -23.1   7.22  236101.   201   -90   111   -59   0.76
2024 283  2 34    3.94    4.76   -1.37 99999.9 99999.9 99999.9 999.99 9999999.   197   -92   105   -59 999.99
2024 283  2 35   -1.93    0.82   -3.51  -417.7    52.8     6.2   6.99  319017.   205   -93   112   -59   1.48
2024 283  2 36   -0.85    2.03   -3.52  -431.8    18.1   -11.7   6.13  234327.   219   -97   122   -58   1.53
2024 283  2 37   -4.10   -0.90   -4.16  -434.8    -4.7   -20.6   6.64  223018.   224   -99   125   -58   1.82
2024 283  2 38   -3.50   -2.88   -2.99  -447.7   -16.8   -30.7   6.88  226098.   231  -106   125   -58   1.34
2024 283  2 39   -3.54   -1.31   -4.29 99999.9 99999.9 99999.9 999.99 9999999.   223  -108   115   -58 999.99
2024 283  2 40   -3.38    1.32   -4.68 99999.9 99999.9 99999.9 999.99 9999999.   219  -110   109   -58 999.99
2024 283  2 41 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.   221  -115   106   -58 999.99
2024 283  2 42   -2.68    2.47   -4.47 99999.9 99999.9 99999.9 999.99 9999999.   220  -112   108   -58 999.99
2024 283  2 43   -2.76    1.99   -4.47  -429.3   -27.3   -18.5   6.62  267546.   213  -102   111   -57   1.92
2024 283  2 44   -3.55    1.74   -4.17  -429.3   -27.3   -18.5   6.62  267546.   207   -93   114   -57   1.80
2024 283  2 45   -4.25   -1.06   -3.91  -429.3   -27.3   -18.5   6.62  267546.   197   -85   112   -57   1.68
2024 283  2 46   -4.39    0.60   -4.58 99999.9 99999.9 99999.9 999.99 9999999.   205   -90   115   -57 999.99
2024 283  2 47   -3.64    2.98   -4.51  -424.5    -0.7   -27.3   6.78  278437.   215   -89   126   -56   1.92
2024 283  2 48   -4.74   -2.99   -3.73  -425.0    13.6    -2.1   6.70  265816.   226   -94   132   -56   1.59
2024 283  2 49   -4.57   -2.78   -4.34  -424.2    27.6    11.7   6.61  245070.   247  -105   142   -55   1.85
2024 283  2 50   -4.41   -2.18   -4.68  -420.0    34.1   -10.9   6.56  213178.   266  -110   156   -55   1.97
2024 283  2 51   -4.77   -2.58   -4.62  -429.3    23.4    -9.0   5.71  178010.   269  -111   158   -55   1.99
2024 283  2 52   -5.11   -2.99   -3.43  -429.5    23.1    -9.0   5.69  177072.   252  -112   140   -55   1.48
2024 283  2 53   -5.21   -1.19   -4.24  -423.0    40.7   -17.8   6.56  237767.   245  -120   125   -55   1.80
2024 283  2 54   -4.92   -0.80   -4.61  -423.0    40.7   -17.8   6.56  237767.   257  -127   130   -55   1.96
2024 283  2 55   -4.62    0.57   -4.94  -416.4     9.5   -14.8   6.83  196001.   273  -131   142   -54   2.06
2024 283  2 56   -5.15    0.43   -4.90  -422.8    -1.4   -12.4   6.50  203839.   275  -130   145   -54   2.07
2024 283  2 57   -5.90   -0.81   -4.00  -427.8    -9.0   -10.7   6.24  210958.   267  -126   141   -54   1.71
2024 283  2 58   -5.76   -0.83   -4.32 99999.9 99999.9 99999.9 999.99 9999999.   257  -121   136   -54 999.99
2024 283  2 59   -6.09   -0.47   -3.84 99999.9 99999.9 99999.9 999.99 9999999.   252  -118   134   -54 999.99
2024 283  3  0   -5.10    0.14   -3.13  -417.1     1.9   -18.3   7.09  283425.   250  -121   129   -53   1.31
2024 283  3  1   -0.28    3.19   -3.78  -440.6    -4.6   -22.8   6.94  211304.   246  -125   121   -53   1.67
2024 283  3  2   -1.02    3.91   -4.19  -428.4    -1.0   -20.2   7.22  251324.   261  -131   130   -53   1.80
2024 283  3  3   -3.33    2.88   -5.30  -438.6   -28.6    -8.1   6.29  191834.   261  -137   124   -53   2.33
2024 283  3  4   -4.40    1.02   -5.90  -438.6   -28.6    -8.1   6.29  191834.   248  -141   107   -53   2.59
2024 283  3  5   -4.85   -0.88   -5.11  -438.6   -28.6    -8.1   6.29  191834.   232  -139    93   -52   2.25
2024 283  3  6   -5.08    1.70   -5.22 99999.9 99999.9 99999.9 999.99 9999999.   213  -134    79   -52 999.99
2024 283  3  7   -5.90    1.90   -4.47 99999.9 99999.9 99999.9 999.99 9999999.   199  -116    83   -52 999.99
2024 283  3  8   -6.61    2.01   -3.66 99999.9 99999.9 99999.9 999.99 9999999.   210  -118    92   -52 999.99
2024 283  3  9   -6.73    1.12   -3.52  -408.8   -16.4   -14.3   6.12  177007.   232  -126   106   -52   1.44
2024 283  3 10   -6.16    0.36   -4.55  -408.8   -16.4   -14.3   6.12  177007.   240  -138   102   -52   1.86
2024 283  3 11   -5.71    2.70   -3.85  -419.9   -14.4   -17.7   7.02  231841.   275  -151   124   -52   1.62
2024 283  3 12   -3.83    2.40   -5.38  -419.0   -12.7   -20.3   7.11  240326.   279  -155   124   -52   2.26
2024 283  3 13   -4.62    1.78   -6.21  -429.7   -19.3   -15.3   6.21  199532.   277  -153   124   -52   2.67
2024 283  3 14   -4.04    1.97   -6.67  -431.7   -19.2   -12.5   6.17  194410.   294  -152   142   -52   2.88
2024 283  3 15   -3.07    1.71   -7.46  -432.5   -18.0   -10.1   6.23  193405.   294  -154   140   -52   3.23
2024 283  3 16   -5.62    2.11   -5.42  -432.5   -18.0   -10.1   6.23  193405.   291  -154   137   -52   2.35
2024 283  3 17   -5.16    3.18   -5.51  -422.5   -29.4    -5.7   6.69  192653.   276  -143   133   -52   2.33
2024 283  3 18   -3.39    3.66   -6.16  -425.6   -29.6    -8.8   6.81  213205.   261  -133   128   -52   2.63
2024 283  3 19   -1.18    3.27   -7.09  -430.6   -28.2   -10.9   6.84  226376.   264  -133   131   -52   3.06
2024 283  3 20   -1.07    2.78   -7.47  -444.0   -19.9    -8.8   6.46  207684.   289  -158   131   -52   3.32
2024 283  3 21   -1.56    2.92   -7.56  -446.0   -20.1    -9.8   6.10  123946.   290  -152   138   -52   3.38
2024 283  3 22   -2.63    3.10   -7.28  -446.3   -20.1    -9.9   6.05  112073.   305  -155   150   -53   3.25
2024 283  3 23   -1.15    3.04   -7.45  -446.4   -17.9    -8.5   6.51  203662.   313  -163   150   -53   3.33
2024 283  3 24   -2.23    2.57   -6.18  -444.5   -17.9   -10.1   6.56  203653.   327  -166   161   -53   2.75
2024 283  3 25   -3.62    4.14   -4.68  -436.2   -16.7   -15.6   6.87  219551.   319  -158   161   -54   2.04
2024 283  3 26   -2.84    3.34   -5.52  -435.4   -15.8   -16.4   7.11  246396.   322  -150   172   -54   2.41
2024 283  3 27   -2.21    3.23   -5.90 99999.9 99999.9 99999.9 999.99 9999999.   331  -152   179   -54 999.99
2024 283  3 28   -3.22   -1.05   -5.85  -441.2    -3.2     0.1   6.72  221889.   336  -160   176   -54   2.58
2024 283  3 29   -2.72   -1.80   -6.33  -441.2    -2.3    -6.3   6.58  215534.   338  -159   179   -54   2.79
2024 283  3 30   -3.03   -0.08   -5.87  -441.2    -1.2   -17.8   5.96  188390.   333  -155   178   -55   2.59
2024 283  3 31   -3.56    0.40   -6.09  -441.1    -9.1   -19.3   5.48  166789.   326  -151   175   -55   2.69
2024 283  3 32   -2.67    0.50   -6.66  -442.5   -15.4   -12.5   6.36  214620.   320  -151   169   -55   2.95
2024 283  3 33   -4.23    0.96   -5.51  -443.7    -9.9   -20.9   6.44  202852.   320  -156   164   -55   2.45
2024 283  3 34   -2.70    0.87   -6.48  -435.0    -0.5   -30.3   6.06  166102.   310  -147   163   -56   2.83
2024 283  3 35   -2.98    0.93   -6.73 99999.9 99999.9 99999.9 999.99 9999999.   304  -139   165   -56 999.99
2024 283  3 36   -2.55    1.20   -6.87  -441.9   -14.0   -16.0   6.32  199789.   301  -131   170   -56   3.04
2024 283  3 37   -1.61    2.20   -6.85  -444.0   -15.3   -16.5   6.41  209834.   311  -128   183   -57   3.05
2024 283  3 38   -1.69    2.40   -6.92  -446.6   -17.0   -16.7   6.53  220219.   318  -123   195   -57   3.09
2024 283  3 39   -1.66    2.66   -6.85  -449.9   -19.1   -16.0   6.78  224383.   320  -115   205   -58   3.09
2024 283  3 40   -1.68    2.37   -6.18  -449.9   -19.1   -16.0   6.78  224383.   315  -114   201   -58   2.78
2024 283  3 41    0.25    3.22   -6.65 99999.9 99999.9 99999.9 999.99 9999999.   299  -112   187   -59 999.99
2024 283  3 42   -0.33    2.46   -6.79 99999.9 99999.9 99999.9 999.99 9999999.   282  -107   175   -59 999.99
